"file","source","bytes","canvas_w","canvas_h","frame_count","frame","x_signed","y_signed","x_raw","y_raw","w","h","format","extra_9_11","rgb_12_15","unk_16_19","data_offset"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","7","24","15","0x0018","0x000F","141","82","3","000000","0x001B0000","0x00000000","33576"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","8","15","9","0x000F","0x0009","145","85","3","000000","0x001F0000","0x00000000","36824"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","9","15","19","0x000F","0x0013","150","93","3","000000","0x001C0000","0x00000000","42728"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","10","15","19","0x000F","0x0013","150","93","3","000000","0x001D0000","0x00000000","47424"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","11","15","19","0x000F","0x0013","150","93","3","000000","0x001C0000","0x00000000","52120"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","12","15","19","0x000F","0x0013","150","93","3","000000","0x001C0000","0x00000000","56816"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","13","15","19","0x000F","0x0013","150","93","3","000000","0x001D0000","0x00000000","61512"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","14","15","19","0x000F","0x0013","150","93","3","000000","0x001D0000","0x00000000","66208"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","15","15","19","0x000F","0x0013","150","93","3","000000","0x001C0000","0x00000000","70840"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","16","31","19","0x001F","0x0013","134","87","3","000000","0x001C0000","0x00000000","75472"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","17","15","20","0x000F","0x0014","139","92","3","000000","0x001C0000","0x00000000","79632"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","18","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","82600"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","19","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","86640"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","20","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","90680"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","21","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","94720"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","22","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","98760"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","23","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","102800"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","24","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","106840"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","25","39","67","0x0027","0x0043","141","68","3","000000","0x00000000","0x00000000","110880"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","26","34","65","0x0022","0x0041","132","62","3","000000","0x00000000","0x00000000","113800"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","27","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","116576"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","28","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","120616"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","29","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","124656"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","30","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","128696"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","31","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","132736"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","32","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","136776"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","33","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","140816"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","34","45","76","0x002D","0x004C","135","69","3","000000","0x00000000","0x00000000","144856"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","35","30","76","0x001E","0x004C","137","74","3","000000","0x00000000","0x00000000","147256"
"railbrdg.urb","nested:urban.mix","149848","180","180","36","0","15","4","0x000F","0x0004","150","93","3","000000","0x00090000","0x00000000","872"
"railbrdg.urb","nested:urban.mix","149848","180","180","36","1","15","4","0x000F","0x0004","150","93","3","000000","0x00090000","0x00000000","5560"
"railbrdg.urb","nested:urban.mix","149848","180","180","36","2","15","4","0x000F","0x0004","150","93","3","000000","0x00080000","0x00000000","10248"
"railbrdg.urb","nested:urban.mix","149848","180","180","36","3","15","4","0x000F","0x0004","150","93","3","000000","0x00080000","0x00000000","14936"
"railbrdg.urb","nested:urban.mix","149848","180","180","36","4","15","7","0x000F","0x0007","150","90","3","000000","0x00080000","0x00000000","19624"
"railbrdg.urb","nested:urban.mix","149848","180","180","36","5","15","4","0x000F","0x0004","150","93","3","000000","0x00080000","0x00000000","24264"
"railbrdg.urb","nested:urban.mix","149848","180","180","36","6","15","9","0x000F","0x0009","150","86","3","000000","0x00080000","0x00000000","29032"
"railbrdg.urb","nested:urban.mix","149848","180","180","36","7","24","15","0x0018","0x000F","141","82","3","000000","0x00080000","0x00000000","33576"
"railbrdg.urb","nested:urban.mix","149848","180","180","36","8","15","9","0x000F","0x0009","145","85","3","000000","0x00070000","0x00000000","36824"
"railbrdg.urb","nested:urban.mix","149848","180","180","36","9","15","19","0x000F","0x0013","150","93","3","000000","0x00090000","0x00000000","42728"
"railbrdg.urb","nested:urban.mix","149848","180","180","36","10","15","19","0x000F","0x0013","150","93","3","000000","0x00080000","0x00000000","47424"
